depth,speed
0.0,1540.098
10.0,1540.542
20.0,1540.403
30.0,1539.885
40.0,1538.691
50.0,1538.21
60.0,1537.369
70.0,1535.649
80.0,1534.178
90.0,1532.433
100.0,1531.243
110.0,1530.369
120.0,1529.821
130.0,1528.447
140.0,1527.317
150.0,1525.987
160.0,1525.266
170.0,1524.614
180.0,1524.072
190.0,1523.146
200.0,1521.27
250.0,1514.781
300.0,1509.326
350.0,1506.298
400.0,1501.522
450.0,1496.841
500.0,1493.338
550.0,1490.031
600.0,1487.471
700.0,1482.948
800.0,1481.36
900.0,1479.82
1200.0,1479.664
1846.3477,1488.089
