depth,speed
0.0,1518.419
10.0,1518.5
20.0,1518.566
30.0,1518.637
40.0,1517.676
50.0,1514.474
60.0,1511.12
70.0,1509.367
80.0,1508.085
90.0,1506.547
100.0,1505.111
110.0,1503.191
120.0,1500.474
130.0,1497.461
140.0,1494.907
150.0,1494.212
160.0,1494.237
170.0,1494.886
180.0,1494.726
190.0,1492.931
200.0,1490.474
250.0,1487.253
300.0,1484.036
350.0,1482.257
400.0,1478.613
450.0,1479.24
500.0,1475.175
550.0,1476.429
600.0,1476.687
700.0,1476.412
800.0,1477.042
900.0,1477.642
1200.0,1480.435
1600.0,1485.086
2276.6,1493.93
