depth,speed
0.0,1534.212
10.0,1529.87
20.0,1521.844
30.0,1515.171
40.0,1508.252
50.0,1500.484
60.0,1498.399
70.0,1497.922
80.0,1497.291
90.0,1496.911
100.0,1496.717
110.0,1496.608
120.0,1496.655
130.0,1496.732
140.0,1496.758
150.0,1496.691
160.0,1496.415
170.0,1495.953
180.0,1495.171
190.0,1494.294
200.0,1493.185
250.0,1487.077
300.0,1484.616
350.0,1482.752
400.0,1480.266
450.0,1475.316
500.0,1473.147
550.0,1472.642
600.0,1473.239
700.0,1475.921
800.0,1478.017
900.0,1479.25
1200.0,1481.664
1600.0,1485.715
2276.6,1494.07
