depth,speed
0.0,1511.904
10.0,1512.012
20.0,1512.105
30.0,1512.191
40.0,1511.948
50.0,1511.008
60.0,1508.738
70.0,1506.082
80.0,1501.818
90.0,1500.118
100.0,1497.867
110.0,1495.79
120.0,1494.073
130.0,1492.961
140.0,1491.877
150.0,1490.06
160.0,1488.327
170.0,1486.834
180.0,1483.782
190.0,1479.811
200.0,1476.449
250.0,1469.234
300.0,1471.843
350.0,1474.452
400.0,1474.691
450.0,1474.508
500.0,1476.163
550.0,1476.211
600.0,1475.905
700.0,1475.991
800.0,1475.959
900.0,1476.867
1137.65,1478.347
